state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
"Andhra Pradesh",Kurnool,Alur,Maize,Local,01/01/2019,1400,1600,1500
"Andhra Pradesh",Kurnool,Alur,Maize,Local,02/01/2019,1400,1600,1500
"Andhra Pradesh",Kurnool,Alur,Maize,Local,03/01/2019,1400,1600,1500
"Andhra Pradesh",Kurnool,Alur,Maize,Local,04/01/2019,1400,1600,1500
"Andhra Pradesh",Kurnool,Alur,Maize,Local,05/01/2019,1420,1620,1520
"Andhra Pradesh",Kurnool,Alur,Maize,Local,06/01/2019,1440,1640,1540
"Andhra Pradesh",Kurnool,Alur,Maize,Local,07/01/2019,1440,1640,1540
"Andhra Pradesh",Kurnool,Alur,Maize,Local,08/01/2019,1440,1640,1540
"Andhra Pradesh",Kurnool,Alur,Maize,Local,09/01/2019,1440,1640,1540
"Andhra Pradesh",Kurnool,Alur,Maize,Local,10/01/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,14/01/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,15/01/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,16/01/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,17/01/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,18/01/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,19/01/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,20/01/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,21/01/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,22/01/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,23/01/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,24/01/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,25/01/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,26/01/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,27/01/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,28/01/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,29/01/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,30/01/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,31/01/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,01/02/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,02/02/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,03/02/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,04/02/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,05/02/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,06/02/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,07/02/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,08/02/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,09/02/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,10/02/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,11/02/2019,1700,1700,1700
"Andhra Pradesh",Kurnool,Alur,Maize,Local,12/02/2019,1700,1700,1700
